12	6	E	-1739235.463653863	200
emissionprobs	11	1	h3k27me3	1	7.983695530065707E-4
emissionprobs	11	2	h3k36me3	0	0.9902065323826317
emissionprobs	11	2	h3k36me3	1	0.00979346761736832
emissionprobs	11	3	h3k4me1	0	0.7600661417813646
emissionprobs	11	3	h3k4me1	1	0.2399338582186354
emissionprobs	11	4	h3k4me3	0	0.9550345901274852
emissionprobs	11	4	h3k4me3	1	0.04496540987251483
emissionprobs	11	5	h3k9me3	0	0.9949370136996366
emissionprobs	11	5	h3k9me3	1	0.0050629863003634045
emissionprobs	12	0	h3k27ac	0	0.9847092489519506
emissionprobs	12	0	h3k27ac	1	0.015290751048049486
emissionprobs	12	1	h3k27me3	0	0.9985578715801946
emissionprobs	12	1	h3k27me3	1	0.0014421284198053118
emissionprobs	12	2	h3k36me3	0	0.9954364464909575
emissionprobs	12	2	h3k36me3	1	0.004563553509042515
emissionprobs	12	3	h3k4me1	0	0.9872646382600233
emissionprobs	12	3	h3k4me1	1	0.012735361739976733
emissionprobs	12	4	h3k4me3	0	0.8162494417744309
emissionprobs	12	4	h3k4me3	1	0.18375055822556902
emissionprobs	12	5	h3k9me3	0	0.9915259931963175
emissionprobs	12	5	h3k9me3	1	0.00847400680368259
